,helix_id,x,y,z,true_alpha,true_kappa,true_tan_lambda,r,curve_fit_alpha,curve_fit_kappa,curve_fit_tan_lambda,curve_fit_chi_sq
0,0,-0.003951956711346458,-1.0377846257403784,2970.4056307820633,1.7915768771426899,0.013239823400028494,0.8736837735875886,1.037792150377399,1.9494846586396861,0.014393999301815029,0.8729094228598938,0.0005500902500219741
1,0,-0.020963362430803576,2.384329285319607,4459.037901246142,1.7915768771426899,0.013239823400028494,0.8736837735875886,2.3844214399717836,1.9494846586396861,0.014393999301815029,0.8729094228598938,0.0005500902500219741
2,0,-0.03857221696826199,3.2323968137118646,8173.913026638481,1.7915768771426899,0.013239823400028494,0.8736837735875886,3.232626946806028,1.9494846586396861,0.014393999301815029,0.8729094228598938,0.0005500902500219741
3,0,-0.0633145044442493,4.146868909655017,9660.354462394014,1.7915768771426899,0.013239823400028494,0.8736837735875886,4.1473522252560615,1.9494846586396861,0.014393999301815029,0.8729094228598938,0.0005500902500219741
4,0,-0.11191523993373838,5.507570187968857,11147.201697067307,1.7915768771426899,0.013239823400028494,0.8736837735875886,5.5087071438163,1.9494846586396861,0.014393999301815029,0.8729094228598938,0.0005500902500219741
5,0,-0.1456085430356336,6.281574414817059,11147.877622391783,1.7915768771426899,0.013239823400028494,0.8736837735875886,6.2832618102932205,1.9494846586396861,0.014393999301815029,0.8729094228598938,0.0005500902500219741
6,0,-0.1832696390614398,7.038603647978213,11148.552871114334,1.7915768771426899,0.013239823400028494,0.8736837735875886,7.040989211320659,1.9494846586396861,0.014393999301815029,0.8729094228598938,0.0005500902500219741
7,0,-0.22573791104635446,7.812928226144554,11149.227443912238,1.7915768771426899,0.013239823400028494,0.8736837735875886,7.816188653773005,1.9494846586396861,0.014393999301815029,0.8729094228598938,0.0005500902500219741
8,0,-0.3241570390626096,9.369030961552562,11150.575239011952,1.7915768771426899,0.013239823400028494,0.8736837735875886,9.374637003346017,1.9494846586396861,0.014393999301815029,0.8729094228598938,0.0005500902500219741
9,0,-0.3789741733187531,10.120323916913074,11151.247787417567,1.7915768771426899,0.013239823400028494,0.8736837735875886,10.127417124187462,1.9494846586396861,0.014393999301815029,0.8729094228598938,0.0005500902500219741
10,1,-0.004186511516800858,-1.09937876473872,2770.197101490446,1.8483571198858222,0.012937955442282743,0.7717598900411998,1.0993867359747045,1.9427354238993153,0.013587144927451712,0.7711111553249389,0.0009143118831634482
11,1,-0.022144956629587785,2.5187213543793487,4158.4939583540645,1.8483571198858222,0.012937955442282743,0.7717598900411998,2.51881870330333,1.9427354238993153,0.013587144927451712,0.7711111553249389,0.0009143118831634482
12,1,-0.04070778912019575,3.4113602532528797,7622.9825110677775,1.8483571198858222,0.012937955442282743,0.7717598900411998,3.411603127793238,1.9427354238993153,0.013587144927451712,0.7711111553249389,0.0009143118831634482
13,1,-0.0667057548663111,4.368983432441586,9009.23619783484,1.8483571198858222,0.012937955442282743,0.7717598900411998,4.3694926353847245,1.9427354238993153,0.013587144927451712,0.7711111553249389,0.0009143118831634482
14,1,-0.07559652994383714,-4.6387604086512475,10387.794782691555,1.8483571198858222,0.012937955442282743,0.7717598900411998,4.63937635509449,1.9427354238993153,0.013587144927451712,0.7711111553249389,0.0009143118831634482
15,1,-0.13028876625181193,6.103408901110451,10396.094617909777,1.8483571198858222,0.012937955442282743,0.7717598900411998,6.1047993723598895,1.9427354238993153,0.013587144927451712,0.7711111553249389,0.0009143118831634482
16,1,-0.16780714891582219,6.93246283836291,10396.724758629356,1.8483571198858222,0.012937955442282743,0.7717598900411998,6.934493510308449,1.9427354238993153,0.013587144927451712,0.7711111553249389,0.0009143118831634482
17,1,-0.20940136425486833,7.73765620249692,10397.354268577443,1.8483571198858222,0.012937955442282743,0.7717598900411998,7.740489160214027,1.9427354238993153,0.013587144927451712,0.7711111553249389,0.0009143118831634482
18,1,-0.3068787839604856,9.364177770085043,10398.612028193442,1.8483571198858222,0.012937955442282743,0.7717598900411998,9.369204870094364,1.9427354238993153,0.013587144927451712,0.7711111553249389,0.0009143118831634482
19,1,-0.36200286991589575,10.162598234680205,10399.239648982806,1.8483571198858222,0.012937955442282743,0.7717598900411998,10.169043659919677,1.9427354238993153,0.013587144927451712,0.7711111553249389,0.0009143118831634482
20,2,-0.0044356926091070285,-1.1648137696005096,1363.8854854779092,1.6952428910796238,0.011043702087968784,0.35363270677919567,1.1648222152843204,1.7675116379893037,0.011515239673143924,0.3536554652945283,0.0011551194794903843
21,2,-0.023725116408350864,2.698445444368501,2047.402889922577,1.6952428910796238,0.011043702087968784,0.35363270677919567,2.6985497396530804,1.7675116379893037,0.011515239673143924,0.3536554652945283,0.0011551194794903843
22,2,-0.02383411118854315,2.710842284198813,2047.402889922577,1.6952428910796238,0.011043702087968784,0.35363270677919567,2.710947058622943,1.7675116379893037,0.011515239673143924,0.3536554652945283,0.0011551194794903843
23,2,-0.04715785507896223,-3.809705877174332,4091.552931085677,1.6952428910796238,0.011043702087968784,0.35363270677919567,3.809997734103302,1.7675116379893037,0.011515239673143924,0.3536554652945283,0.0011551194794903843
24,2,-0.08407302464435144,5.072433691855973,5117.920220926807,1.6952428910796238,0.011043702087968784,0.35363270677919567,5.0731303779568355,1.7675116379893037,0.011515239673143924,0.3536554652945283,0.0011551194794903843
25,2,-0.11621269565460506,5.9786884858556295,5118.2309843776675,1.6952428910796238,0.011043702087968784,0.35363270677919567,5.979817840163192,1.7675116379893037,0.011515239673143924,0.3536554652945283,0.0011551194794903843
